Código;Status;Categoria;Tag;Data;Frase-chave de foco;Título;Título SEO;Link;Atualizado
15;Publicado;Análises bi e multivariadas;pressupostos estatísticos;25/6/2025;o que é multicolinearidade;O que é multicolinearidade, como identificar e como lidar?;O que é multicolinearidade? Aprenda como identificar e como lidar;https://www.blog.psicometriaonline.com.br/o-que-e-multicolinearidade/;ok
16;Publicado;Metodologia científica;desenhos experimentais, desenhos correlacionais;17/07/2024;pesquisa experimental e pesquisa correlacional;Pesquisa experimental e pesquisa correlacional: definições, diferenças e exemplos;Pesquisa experimental e pesquisa correlacional: o que são?;https://www.blog.psicometriaonline.com.br/metodo-de-pesquisa-correlacional-e-experimental/;ok
17;Publicado;Análises bi e multivariadas;tamanho de efeito;14/01/2025;tamaho de efeito;O que é tamanho de efeito?;Tamanho de efeito: o que é e quais são as principais medidas?;https://www.blog.psicometriaonline.com.br/o-que-e-tamanho-de-efeito/;ok
18;Publicado;Análises bi e multivariadas;estatística descritiva;03/07/2024;desvio-padrão e erro-padrão;Qual é a diferença entre desvio-padrão e erro-padrão?;Desvio-padrão e erro-padrão: qual a diferença entre eles?;https://www.blog.psicometriaonline.com.br/a-diferenca-entre-desvio-padrao-e-erro-padrao/;ok
19;Publicado;Análises bi e multivariadas;mediação e moderação;15/1/2025;mediação e moderação;Análise de mediação e moderação: definições e diferenças;Análises de mediação e de moderação: uma introdução amigável;https://www.blog.psicometriaonline.com.br/analise-de-mediacao-e-moderacao-definicoes-e-diferencas/;ok
20;Publicado;Análises bi e multivariadas;pressupostos estatísticos;26/3/2025;teste de Levene;Teste de Levene;Teste de Levene: o que é e para que serve?;https://www.blog.psicometriaonline.com.br/teste-de-levene/;ok
21;Publicado;Análises bi e multivariadas;regressão;27/3/2025;coeficiente de determinação;Entenda o que é o coeficiente de determinação na regressão linear;Coeficiente de determinação da regressão linear: o que é?;https://www.blog.psicometriaonline.com.br/entenda-o-que-e-o-coeficiente-de-determinacao-na-regressao-linear/;ok
22;Publicado;Softwares;análise de dados;18/07/2024;JASP;JASP: um software gratuito para fazer análise de dados;JASP: um programa para para análises frequentistas e bayesianas;https://www.blog.psicometriaonline.com.br/jasp-um-software-gratuito-para-fazer-analise-de-dados/;ok
23;Publicado;Análises bi e multivariadas;teste de hipótese;17/07/2024;graus de liberdade;O que são graus de liberdade?;Graus de liberdade: Entenda o conceito com exemplos simples;https://www.blog.psicometriaonline.com.br/o-que-sao-graus-de-liberdade/;ok
24;Publicado;Análises bi e multivariadas;teste t e anova;5/22/2025;teste post hoc;O que é um teste post hoc?;Teste post hoc: o que é e qual utilizar?;https://www.blog.psicometriaonline.com.br/o-que-e-um-teste-post-hoc/;ok
25;Publicado;Análises bi e multivariadas;tamanho de efeito;01/12/2024;d de Cohen;Entendendo o d de Cohen;d de Cohen: o que é, como calcular e como interpretar?;https://www.blog.psicometriaonline.com.br/d-de-cohen/;ok
26;Publicado;Análises bi e multivariadas;pressupostos estatísticos;06/08/2024;distribuição normal;O que é distribuição normal?;Distribuição normal: o que é e quais são suas utilidades?;https://www.blog.psicometriaonline.com.br/distribuicao-normal/;ok
27;Publicado;Fidedignidade e validade;índices de validade;4/28/2025;índices de validade de conteúdo;Compreendendo os índices de validade de conteúdo;Índices de validade de conteúdo: o que você precisa saber;https://www.blog.psicometriaonline.com.br/compreendendo-os-indices-de-validade-de-conteudo/;ok
28;Publicado;Fidedignidade e validade;fidedignidade e concordância, tutorial no spss;23/1/2025;kappa de Cohen;O que é o coeficiente kappa de Cohen?;Coeficiente kappa de Cohen: Tutorial no SPSS;https://www.blog.psicometriaonline.com.br/kappa-de-cohen/;ok
29;Publicado;Análises bi e multivariadas;teste t e anova;16/1/2025;comparação entre grupos;Comparação entre grupos: quando utilizar o teste t de amostras independentes e análise de variância (ANOVA)?;Comparação entre grupos: quando usar teste t e ANOVA?;https://www.blog.psicometriaonline.com.br/quando-utilizar-o-teste-t-de-amostras-independentes-e-analise-de-variancia-anova/;ok
30;Publicado;Análises bi e multivariadas;correlação;10/07/2024;o que é correlação;O que é correlação?;O que é correlação? Descomplicando o conceito;https://www.blog.psicometriaonline.com.br/o-que-e-correlacao/;ok
31;Publicado;Análises bi e multivariadas;estatística descritiva;16/07/2024;medidas de dispersão;Medidas de dispersão: amplitude, a variância e o desvio padrão;Quais são as medidas de dispersão? Exemplos e como calcular;https://www.blog.psicometriaonline.com.br/medidas-de-dispersao-amplitude-a-variancia-e-o-desvio-padrao/;ok
32;Publicado;Fidedignidade e validade;fidedignidade e concordância, fontes de validade;15/3/2025;fidedignidade e validade;Qual a diferença entre fidedignidade e validade de um teste;Fidedignidade e validade: qual é a diferença?;https://www.blog.psicometriaonline.com.br/qual-a-diferenca-entre-fidedignidade-e-validade-de-um-teste/;ok
33;Publicado;Revisões da literatura;ferramentas de escrita e revisão;03/09/2024;estratégia PICO;Estudos de revisão sistemática: o uso da estratégia PICO;Estratégia PICO aplicada a revisões sistemáticas;https://www.blog.psicometriaonline.com.br/estudos-de-revisao-sistematica-o-uso-da-estrategia-pico/;ok
34;Publicado;Análises bi e multivariadas;pressupostos estatísticos;23/6/2025;homocedasticidade na regressão linear;O que é homoscedasticidade na regressão linear?;Homocedasticidade na regressão linear: o que é e como detectar?;https://www.blog.psicometriaonline.com.br/como-verificar-a-homogeneidade-de-variancia-na-regressao-linear/;ok
35;Publicado;Tutoriais;teste t e anova, tutorial no JASP;26/2/2025;análise de variância no JASP;Como realizar a análise de variância (ANOVA) no JASP?;Análise de variância no JASP: como executar?;https://www.blog.psicometriaonline.com.br/tutorial-quando-e-como-utilizar-analise-de-variancia-anova/;ok
36;Publicado;Fidedignidade e validade;índices de validade;4/28/2025;índice de validade de conteúdo;Índice de validade de conteúdo;Índice de validade de conteúdo: o que é e como calcular?;https://www.blog.psicometriaonline.com.br/indice-de-validade-de-conteudo/;ok
37;Publicado;Análise fatorial;análise fatorial confirmatória;5/21/2025;análise fatorial confirmatória;Análise fatorial confirmatória;Análise fatorial confirmatória;https://www.blog.psicometriaonline.com.br/analise-fatorial-confirmatoria-2/;ok
38;Publicado;TRI;modelos de TRI;13/11/2024;teoria de resposta ao item;O que é Teoria de Resposta ao Item (TRI) e quais os principais modelos;Teoria de Resposta ao Item: o que é e quais são seus principais modelos?;https://www.blog.psicometriaonline.com.br/o-que-e-teoria-de-resposta-ao-item-tri-e-quais-os-principais-modelos/;ok
39;Publicado;Softwares;análise de dados;02/10/2024;IRaMuTeQ;Análise textual: o software IRaMuTeQ;IRaMuTeQ: um software gratuito para análise de dados textuais;https://www.blog.psicometriaonline.com.br/analise-textual-o-software-iramuteq/;ok
40;Publicado;Fidedignidade e validade;fontes de validade;22/1/2025;validade de construto;O que é validade de construto?;Validade de construto: conheça esse conceito;https://www.blog.psicometriaonline.com.br/validade-de-construto/;ok
41;Publicado;Análises bi e multivariadas;correlação;22/05/2025;correlação tau de Kendall;O que é correlação tau de Kendall?;Correlação tau de Kendall: o que é e como interpretar?;https://www.blog.psicometriaonline.com.br/o-que-e-correlacao-tau-de-kendall/;ok
42;Publicado;Análises bi e multivariadas;teste de hipótese;22/1/2025;correção de Bonferroni;O que é correção de Bonferroni?;Correção de Bonferroni: o que é e como calcular?;https://www.blog.psicometriaonline.com.br/correcao-bonferroni/;ok
43;Publicado;Fidedignidade e validade;fontes de validade;19/3/2025;validade de testes psicológicos;Validade dos testes psicológicos;Validade dos testes psicológicos: entenda a importância;https://www.blog.psicometriaonline.com.br/validade-dos-testes-psicologicos/;ok
44;Publicado;Instrumentos de autorrelato;normatização;13/12/2024;dados normativos;Dados normativos: o que são escores percentílicos e escores padronizados?;Dados normativos: entenda os percentis e o escore z;https://www.blog.psicometriaonline.com.br/dados-normativos-escores-percentilicos-e-escores-padronizados/;ok
45;Publicado;Análises bi e multivariadas;tamanho de efeito;5/19/2025;eta ao quadrado;Tamanho do efeito para a ANOVA: eta ao quadrado;Eta ao quadrado: o que é e como interpretar?;https://www.blog.psicometriaonline.com.br/eta-ao-quadrado/;ok
46;Publicado;Análises bi e multivariadas;teste t e anova;28/1/2025;teste;Conheça o teste z, o teste t e o teste F;Teste z, teste t e teste F: entenda seus diferentes usos;https://www.blog.psicometriaonline.com.br/conheca-o-teste-z-o-teste-t-e-o-teste-f/;ok
47;Publicado;Tutoriais;tutorial no JASP, correlação;29/08/2024;correlações no JASP;Como executar correlações no JASP? Pearson, Spearman e Kendall;Correlações no JASP: um tutorial de como solicitar as análises;https://www.blog.psicometriaonline.com.br/como-executar-correlacoes-no-jasp-pearson-spearman-e-kendall;ok
48;Publicado;Análises bi e multivariadas;tamanho de efeito, dados categóricos;07/08/2024;coeficiente phi e V de Cramér;Medidas de associação: coeficiente phi e V de Cramér;Coeficiente phi e V de Cramér: conheça essas medidas;https://www.blog.psicometriaonline.com.br/medidas-de-associacao-coeficiente-phi-e-v-de-cramer/;ok
49;Publicado;Análise fatorial;análise fatorial exploratória;16/04/2025;o que é análise fatorial exploratória;O que é análise fatorial exploratória?;Análise fatorial exploratória: entenda a técnica;https://www.blog.psicometriaonline.com.br/o-que-e-analise-fatorial-exploratoria/;ok
50;Publicado;Metodologia científica;planejamento de pesquisa;25/11/2024;população e amostra;Entenda o que é População, Amostragem, Amostra e Censo;População e amostra: entenda esses conceitos fundamentais;https://www.blog.psicometriaonline.com.br/entenda-o-que-e-populacao-amostragem-amostra-e-censo/;ok
51;Publicado;Análises bi e multivariadas;testes não paramétricos;1/3/2025;testes não paramétricos;O que são testes não paramétricos?;O que são testes não paramétricos?;https://www.blog.psicometriaonline.com.br/testes-nao-parametricos/;ok
52;Publicado;Tutoriais;fidedignidade e concordância, tutorial no JASP;26/6/2025;ômega de McDonald;Como calcular o alfa de Cronbach e o ômega de McDonald;Alfa de Cronbach e ômega de McDonald no JASP;https://www.blog.psicometriaonline.com.br/como-calcular-o-alfa-de-cronbach-e-o-omega-de-mcdonald-no-jasp/;ok
53;Publicado;Geral;disciplinas;18/11/2024;o que é psicometria;O que é psicometria?;O que é psicometria?;https://www.blog.psicometriaonline.com.br/o-que-e-psicometria/;ok
54;Publicado;Tutoriais;tutorial no SPSS;07/10/2024;teste t para amostras pareadas no SPSS;Como fazer o teste t para amostras pareadas no SPSS?;Teste t para amostras pareadas no SPSS: um tutorial;https://www.blog.psicometriaonline.com.br/tutorial-teste-t-para-amostras-pareadas-no-spss/;ok
55;Publicado;Fidedignidade e validade;fidedignidade e concordância, gráficos;2/1/2025;gráfico de Bland-Altman;O que é o gráfico de Bland-Altman?;Gráfico de Bland-Altman: o que é e como interpretar?;https://www.blog.psicometriaonline.com.br/o-que-e-o-grafico-de-bland-altman/;ok
56;Publicado;Modelos lineares generalizados;regressão;6/2/2025;regressão de Poisson;O que é regressão de Poisson?;Regressão de Poisson: modelo aplicado para dados de contagem;https://www.blog.psicometriaonline.com.br/o-que-e-regressao-de-poisson/;ok
57;Publicado;Modelos lineares generalizados;regressão;26/6/2025;tipos de regressão logística;Diferença entre as regressões logísticas: binária, ordinal e multinomial;Tipos de regressão logística: conheça os principais;https://www.blog.psicometriaonline.com.br/diferenca-entre-as-regressoes-logisticas-binaria-ordinal-e-multinomial/;ok
58;Publicado;Análises bi e multivariadas;testes não paramétricos;20/12/2024;testes não paramétricos para comparação;Testes não paramétricos para comparação entre grupos;Testes não paramétricos para comparação entre grupos;https://www.blog.psicometriaonline.com.br/testes-nao-parametricos-para-comparacao-entre-grupos/;ok
59;Publicado;Revisões da literatura;bases de dados;6/5/2025;PEDro;Um Guia Completo sobre a PEDro: Physiotherapy Evidence Database;Physiotherapy Evidence Database (PEDro): um guia completo;https://www.blog.psicometriaonline.com.br/um-guia-completo-sobre-a-pedro-physiotherapy-evidence-database/;ok
60;Publicado;Metodologia científica;estudos epidemiológicos;28/07/2025;modelo de regressão do joinpoint;Séries temporais: modelo de regressão do joinpoint;Modelo de regressão do joinpoint: o que é?;https://www.blog.psicometriaonline.com.br/series-temporais-modelo-de-regressao-do-joinpoint/;ok
61;Publicado;Tutoriais;fidedignidade e concordância, tutorial no SPSS;30/6/2025;kappa de Fleiss;O que é kappa de Fleiss?;Kappa de Fleiss: o que é, como executar e como interpretar?;https://www.blog.psicometriaonline.com.br/kappa-de-fleiss/;ok
62;Publicado;Análises bi e multivariadas;testes não paramétricos;04/12/2024;teste de Wilcoxon;O que é teste de Wilcoxon?;Teste de Wilcoxon: o que é e quando usar?;https://www.blog.psicometriaonline.com.br/teste-de-wilcoxon/;ok
63;Publicado;Análises bi e multivariadas;teste de hipótese;08/10/2024;poder estatístico;Qual a importância do poder estatístico?;Poder estatístico: Definição, determinantes e importância;https://www.blog.psicometriaonline.com.br/qual-a-importancia-do-poder-estatistico/;ok
64;Publicado;Tutoriais;correlação, tutorial no SPSS;23/07/2024;correlação ponto-bisserial;O que é e como executar a correlação ponto-bisserial no SPSS?;Correlação ponto-bisserial: o que é, como fazer e como interpretar?;https://www.blog.psicometriaonline.com.br/o-que-e-correlacao-ponto-bisserial/;ok
65;Publicado;Análise fatorial;análise fatorial exploratória;5/7/2025;análise fatorial exploratória;Análise fatorial exploratória: o que é, para que serve e os principais procedimentos;Análise fatorial exploratória: uma introdução;https://www.blog.psicometriaonline.com.br/analise-fatorial-exploratoria-o-que-e-para-que-serve-e-como-e-realizada/;ok
66;Publicado;Tutoriais;tutorial no SPSS;2/10/2024;teste t para amostras independentes no SPSS;Como fazer o teste t para amostras independentes no SPSS?;Teste t para amostras independentes no SPSS: um tutorial;https://www.blog.psicometriaonline.com.br/como-executar-teste-t-para-amostras-independentes/;ok
67;Publicado;Softwares;análise de dados;6/17/2025;FACTOR;Você precisa conhecer o FACTOR;FACTOR: um software para análise fatorial exploratória;https://www.blog.psicometriaonline.com.br/voce-precisa-conhecer-o-factor/;ok
68;Publicado;Análises bi e multivariadas;dados categóricos;5/21/2025;teste Q de Cochran;O que é o teste Q de Cochran?;Teste Q de Cochran: o que é e quando usar?;https://www.blog.psicometriaonline.com.br/teste-q-de-cochran/;ok
69;Publicado;Análises bi e multivariadas;pressupostos estatísticos;13/2/2025;pressupostos da análise de variância;Como lidar com os pressupostos da análise de variância (ANOVA)?;Pressupostos da análise de variância: como lidar com violações?;https://www.blog.psicometriaonline.com.br/pressupostos-da-analise-de-variancia-anova/;ok
70;Publicado;Análises bi e multivariadas;regressão;27/3/2025;o que é regressão linear;O que é regressão linear?;O que é regressão linear e quais são seus principais tipos?;https://www.blog.psicometriaonline.com.br/o-que-e-regressao-linear/;ok
71;Publicado;Análises bi e multivariadas;teste t e anova;11/2/2025;ANOVA e ANCOVA;Quando usar ANOVA e ANCOVA?;ANOVA e ANCOVA: diferenças e quando usar cada análise?;https://www.blog.psicometriaonline.com.br/quando-usar-anova-e-ancova/;ok
72;Publicado;Análises bi e multivariadas;testes não paramétricos;06/12/2024;teste U de Mann-Whitney;O que é o teste U de Mann-Whitney?;Teste U de Mann-Whitney;https://www.blog.psicometriaonline.com.br/teste-u-de-mann-whitney/;ok
73;Publicado;Fidedignidade e validade;fidedignidade e concordância;06/01/2025;fidedignidade teste-reteste;O que é fidedignidade teste-reteste?;Fidedignidade teste-reteste: entenda esse conceito;https://www.blog.psicometriaonline.com.br/o-que-e-fidedignidade-de-teste-reteste/;ok
74;Publicado;Análises bi e multivariadas;pressupostos estatísticos;16/12/2024;método bootstrap;Reamostragem e o método bootstrap;O que é o método bootstrap em estatística?;https://www.blog.psicometriaonline.com.br/reamostragem-e-o-metodo-bootstrap/;ok
75;Publicado;Análise fatorial;análise fatorial exploratória, redução de dimensionalidade;17/4/2025;análise fatorial e análise de componentes principais;Análise fatorial e análise de componentes principais: diferenças e quando usar;Análise fatorial e análise de componentes principais;https://www.blog.psicometriaonline.com.br/analise-fatorial-e-analise-de-componentes-principais-diferencas-e-quando-usar/;ok
76;Publicado;Metodologia científica;planejamento de pesquisa;16/9/2024;pergunta norteadora de pesquisa;Dicas para elaboração da pergunta norteadora de pesquisa;Pergunta norteadora de pesquisa: dicas de como elaborá-la;https://www.blog.psicometriaonline.com.br/dicas-para-elaboracao-da-pergunta-norteadora-de-pesquisa/;ok
77;Publicado;Tutoriais;tutorial no SPSS, gráficos;11/12/2024;boxplot;Como criar e interpretar um boxplot no SPSS?;Boxplot: o que é, como interpretá-lo e como criá-lo no SPSS?;https://www.blog.psicometriaonline.com.br/boxplot-como-criar-no-spss-e-como-interpretar/;ok
78;Publicado;Tutoriais;tutorial no R;07/07/2024;qui-quadrado de independência no R;Como fazer o teste qui-quadrado de independência no R?;Qui-quadrado de independência no R: tutorial passo a passo;https://www.blog.psicometriaonline.com.br/teste-qui-quadrado-de-independencia-no-r/;ok
79;Publicado;Fidedignidade e validade;fontes de validade;2/4/2025;validade baseada nas relações com medidas externas;Validade baseada nas relações com medidas externas;Validade baseada nas relações com medidas externas;https://www.blog.psicometriaonline.com.br/validade-baseada-nas-relacoes-com-medidas-externas/;ok
80;Publicado;Análises bi e multivariadas;estatística descritiva, gráficos;17/07/2024;escolher o gráfico;Como escolher o gráfico certo para seus dados?;Como escolher o gráfico certo para apresentar seus resultados?;https://www.blog.psicometriaonline.com.br/como-escolher-o-grafico-certo-para-seus-dados/;ok
81;Publicado;Análise fatorial;análise fatorial confirmatória;5/29/2025;SRMR e a RMSEA;Como interpretar o SRMR e o RMSEA em uma análise fatorial confirmatória?;Como interpretar a SRMR e o RMSEA na AFC?;https://www.blog.psicometriaonline.com.br/como-interpretar-o-srmr-e-o-rmsea-em-uma-analise-fatorial-confirmatoria/;ok
82;Publicado;Modelos lineares generalizados;regressão;13/7/2025;regressão de Cox;O que é regressão de Cox?;Regressão de Cox: conheça essa técnica;https://www.blog.psicometriaonline.com.br/o-que-e-regressao-de-cox/;ok
83;Publicado;Tutoriais;tutorial no SPSS;07/08/2024;teste qui-quadrado de independência no SPSS;Como fazer o teste qui-quadrado de independência no SPSS?;Qui-quadrado de independência no SPSS: tutorial passo a passo;https://www.blog.psicometriaonline.com.br/teste-qui-quadrado-de-independencia-no-spss/;ok
84;Publicado;Análise fatorial;análise fatorial confirmatória, análise fatorial exploratória;5/8/2025;qual análise fatorial usar;Exploratória ou confirmatória: qual análise fatorial usar?;Qual análise fatorial usar: exploratória ou confirmatória?;https://www.blog.psicometriaonline.com.br/exploratoria-ou-confirmatoria-qual-analise-fatorial-usar/;ok
85;Publicado;Tutoriais;tutorial no SPSS, dados categóricos;13/09/2024;teste de McNemar;Teste de McNemar: o que é e quando usar?;Teste de McNemar: o que é e quando usar?;https://www.blog.psicometriaonline.com.br/teste-de-mcnemar-quando-usar/;ok
86;Publicado;Fidedignidade e validade;fontes de validade;2/4/2025;validade de conteúdo;Validade baseada no conteúdo;Validade de conteúdo: entenda essa fonte de validade;https://www.blog.psicometriaonline.com.br/validade-de-conteudo/;ok
87;Publicado;Análises bi e multivariadas;teste t e anova;18/2/2025;análise multivariada de variância;O que é análise multivariada de variância (MANOVA)?;O que é análise multivariada de variância (MANOVA)?;https://www.blog.psicometriaonline.com.br/analise-multivariada-de-variancia-manova/;ok
88;Publicado;Modelos lineares generalizados;regressão;27/6/2025;modelos lineares e modelos lineares generalizados;Diferenças entre modelos lineares e modelos lineares generalizados (GLMs);Modelos lineares e modelos lineares generalizados;https://www.blog.psicometriaonline.com.br/diferencas-entre-modelos-lineares-e-modelos-lineares-generalizados-glms/;
89;Publicado;Análises bi e multivariadas;teste t e anova;10/2/2025;análise de variância;O que é análise de variância (ANOVA)?;Análise de variância (ANOVA): conheça a técnica;https://www.blog.psicometriaonline.com.br/analise-de-variancia-anova/;ok
90;Publicado;Tutoriais;tutorial no spss, testes não paramétricos;04/12/2024;teste de Wilcoxon no SPSS;Como executar o teste de Wilcoxon no SPSS?;Teste de Wilcoxon no SPSS: um tutorial passo a passo;https://www.blog.psicometriaonline.com.br/tutorial-como-executar-o-teste-de-wilcoxon/;ok
91;Publicado;Análise fatorial;análise fatorial exploratória;5/29/2025;comunalidade vs. singularidade;Comunalidade vs. singularidade: entendendo as diferenças;Comunalidade vs. singularidade: entenda esses conceitos;https://www.blog.psicometriaonline.com.br/comunalidade-vs-singularidade-entendendo-as-diferencas/;ok
92;Publicado;Fidedignidade e validade;fidedignidade e concordância;1/1/2025;confiabilidade por duas metades;Compreendendo a confiabilidade por duas metades (split-half reliability);Confiabilidade por duas metades: O que é e como calcular?;https://www.blog.psicometriaonline.com.br/compreendendo-a-confiabilidade-duas-metades-split-half-reliability/;ok
93;Publicado;Análises bi e multivariadas;dados categóricos;12/7/2025;análise de correspondência;O que é análise de correspondência?;Análise de correspondência: o que é, tipos e como calcular?;https://www.blog.psicometriaonline.com.br/analise-de-correspondencia/;ok
94;Publicado;Análises bi e multivariadas;correlação;31/12/2024;correlação policórica;O que é correlação policórica?;O que é correlação policórica?;https://www.blog.psicometriaonline.com.br/o-que-e-correlacao-policorica/;ok
95;Publicado;Fidedignidade e validade;fontes de validade;4/4/2025;validade baseada na estrutura interna;Validade baseada na estrutura interna;Validade baseada na estrutura interna: o que é e como avaliá-la?;https://www.blog.psicometriaonline.com.br/validade-baseada-na-estrutura-interna/;ok
96;Publicado;Tutoriais;tutorial no SPSS, fidedignidade e concordância;6/10/2025;kappa ponderado;O que é kappa ponderado?;Kappa ponderado: o que é, como calcular e como interpretar?;https://www.blog.psicometriaonline.com.br/o-que-e-kappa-ponderado/;ok
97;Publicado;Análises bi e multivariadas;regressão;26/6/2025;pseudo R²;Regressão logística: pseudo R²;Pseudo R²: O que é, tipos e como interpretar?;https://www.blog.psicometriaonline.com.br/regressao-logistica-pseudo-r2/;ok
98;Publicado;Análises bi e multivariadas;regressão;28/1/2025;regressão linear e regressão logística;Diferença entre regressão linear e regressão logística;Regressão linear e regressão logística: quais são suas diferenças?;https://www.blog.psicometriaonline.com.br/diferenca-entre-regressao-linear-e-regressao-logistica/;ok
99;Publicado;Revisões da literatura;ferramentas de escrita e revisão;7/2/2025;AMSTAR 2;AMSTAR 2: Ferramenta para avaliação de revisões sistemáticas e meta-análises;AMSTAR 2: O que é e como utilizar essa ferramenta?;https://www.blog.psicometriaonline.com.br/amstar-2-ferramenta-para-avaliacao-de-revisoes-sistematicas-e-meta-analises/;ok
100;Publicado;Análises bi e multivariadas;tamanho de efeito, testes não paramétricos;10/12/2024;tamanho de efeito para o teste de Mann-Whitney;Cálculo do tamanho de efeito para o teste de Mann-Whitney;Tamanho de efeito para o teste de Mann-Whitney: como calcular?;https://www.blog.psicometriaonline.com.br/calculo-do-tamanho-de-efeito-para-o-teste-de-mann-whitney/;ok
101;Publicado;Tutoriais;teste t e anova, tutorial no JASP;6/11/2025;análise de covariância no JASP;Como realizar análise de covariância no JASP?;Análise de covariância no JASP: um tutorial;https://www.blog.psicometriaonline.com.br/tutorial-ancova-analise-de-covariancia/;ok
102;Publicado;TRI;conceitos da TRI;24/12/2024;vantagens da TRI;Vantagens da TRI sobre a teoria clássica dos testes;Vantagens da TRI sobre a teoria clássica dos testes;https://www.blog.psicometriaonline.com.br/vantagens-da-tri-sobre-a-teoria-classica-dos-testes/;ok
103;Publicado;Análise fatorial;análise fatorial exploratória;17/04/2025;rotação fatorial;O que é rotação fatorial?;Rotação fatorial na análise fatorial exploratória: para que serve?;https://www.blog.psicometriaonline.com.br/rotacao-fatorial/;ok
104;Publicado;Análises bi e multivariadas;teste de hipótese;10/10/2024;valor de p;O que é valor de p?;Valor de p: o que é e como interpretar?;https://www.blog.psicometriaonline.com.br/o-que-e-valor-de-p/;ok
105;Publicado;Análises bi e multivariadas;teste de hipótese;1/3/2025;teste paramétrico;O que é um teste paramétrico?;O que é um teste paramétrico?;https://www.blog.psicometriaonline.com.br/o-que-e-um-teste-parametrico/;ok
106;Publicado;Análises bi e multivariadas;estatística descritiva, teste de hipótese;23/12/2024;etapas da análise de dados;Explorando as etapas da análise de dados;Etapas da análise de dados quantitativos: conheça as principais;https://www.blog.psicometriaonline.com.br/explorando-as-etapas-da-analise-de-dados/;ok
